"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"Airframe – 021.02 (1)","021.02 (1) Q0021","What is the main function of the ribs?","They support the skin and maintain its aerofoil shape","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","They support the skin and maintain its aerofoil shape","Merged"
"Airframe – 021.02 (1)","021.02 (1) Q0022","Which of these requirements must be true for an aeroplane to stay in a steady horizontal flight? Select the most complete answer.","All answers are correct","The lift must counteract the weight of the aeroplane","The thrust must counteract the drag of the aeroplane","Aeroplane's acceleration in all 3 axes must be equal to 0","All answers are correct","Evionica"
"Airframe – 021.02 (2)","021.02 (2) Q0001","Why is the rectangular fuselage not used in large aeroplanes?","It cannot be used in pressurised structures","Bleed air is taken only from the fuel tanks","Cabin differential pressure is unlimited by design","Outward relief valves open only when cabin altitude is zero","It cannot be used in pressurised structures","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0002","Why is oval fuselage shape optimal in pressurised aeroplanes?","Because hoop stresses are spread evenly in the fuselage","Bleed air is taken only from the fuel tanks","Cabin differential pressure is unlimited by design","Outward relief valves open only when cabin altitude is zero","Because hoop stresses are spread evenly in the fuselage","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0003","What is the main function of frames?","They support the skin and give it shape","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","They support the skin and give it shape","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0004","What is the main function of doublers?","They support cut-outs in the skin of the aeroplane","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","Composite structures never require bonding or fasteners","They support cut-outs in the skin of the aeroplane","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0005","What is the function of blow-out panels?","They burst in the event of a decompression, which limits the damage to the rest of the structure","They support cut-outs in the skin of the aeroplane","An openable window which provides a sufficient outside view to operate an aeroplane","They support the skin and give it shape","They burst in the event of a decompression, which limits the damage to the rest of the structure","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0006","What is the main function of the firewall in the aircraft's structure?","It protects the crew and passengers in the event of an engine fire","Fire requires only fuel, never oxygen or heat","Smoke detectors are fitted only in the flight deck seats","Engine fire handles never shut off fuel or hydraulics","It protects the crew and passengers in the event of an engine fire","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0007","How do plug type doors stay sealed at high altitude?","Due to the pressure differential between inside and outside the doors are pressed into their mounting","They burst in the event of a decompression, which limits the damage to the rest of the structure","Seated too high, the glare shield can limit the view of the instrument panel","They support cut-outs in the skin of the aeroplane","Due to the pressure differential between inside and outside the doors are pressed into their mounting","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0008","Direct vision window is:","An openable window which provides a sufficient outside view to operate an aeroplane","Seated too high, the glare shield can limit the view of the instrument panel","It protects the crew and passengers in the event of an engine fire","Because hoop stresses are spread evenly in the fuselage","An openable window which provides a sufficient outside view to operate an aeroplane","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0009","How can seating too high influence pilot's performance?","Seated too high, the glare shield can limit the view of the instrument panel","It protects the crew and passengers in the event of an engine fire","They burst in the event of a decompression, which limits the damage to the rest of the structure","Axial stress and hoop stress","Seated too high, the glare shield can limit the view of the instrument panel","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0010","How can seating too low influence pilot's performance?","Seated too low, the visibility from the cockpit is impaired by the increase of the blind area looking forward","It protects the crew and passengers in the event of an engine fire","Due to the pressure differential between inside and outside the doors are pressed into their mounting","Seated too high, the glare shield can limit the view of the instrument panel","Seated too low, the visibility from the cockpit is impaired by the increase of the blind area looking forward","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0011","What can be the result of a nose-wheel landing? Select the most complete answer.","All answers are correct","Increased load on the nose landing gear","Risk of propeller or engine damage on propeller aircraft","Possible structural damage to the forward fuselage","All answers are correct","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0012","What can be the result of a tail strike? Select the most complete answer.","Damage to the aft pressure bulkhead","Axial stress and hoop stress","Due to the pressure differential between inside and outside the doors are pressed into their mounting","It protects the crew and passengers in the event of an engine fire","Damage to the aft pressure bulkhead","Merged"
"Airframe – 021.02 (2)","021.02 (2) Q0013","What are the pressurisation loads?","Axial stress and hoop stress","Bleed air is taken only from the fuel tanks","Cabin differential pressure is unlimited by design","Outward relief valves open only when cabin altitude is zero","Axial stress and hoop stress","Merged"
"Airframe – 021.03 (1)","021.03 (1) Q0001","Which of the following statements is true?","The pressure at the bottom is the same in all containers","The pressure at the bottom is greater in container no. 1 than in container no. 2","The pressure at the bottom is greater in container no. 2 than in container no. 1","The pressure at the bottom is greater in container no. 3 than in container no. 2","The pressure at the bottom is the same in all containers","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0002","What does Pascal’s law state?","A pressure change in one part of the confined and incompressible fluid will be transmitted throughout the fluid without loss, so the same change occurs everywhere","In open containers, the hydrostatic pressure depends only on the height of the fluid","For every action, there is an opposite and equal reaction","The state of an amount of gas is determined by its pressure, volume, and temperature","A pressure change in one part of the confined and incompressible fluid will be transmitted throughout the fluid without loss, so the same change occurs everywhere","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0003","Which of the following formulas is true? (p – pressure, F – force, A – area)","F = p × A","F = p / A","Stringers carry only torsional loads and never support the skin","Pressurised fuselages never use hoop-stress considerations","F = p × A","Merged"
"Airframe – 021.03 (1)","021.03 (1) Q0004","What force applied to the right-hand side piston would balance the force applied to the left-hand piston?","4,500 N","500 N","1,500 N","750 N","4,500 N","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0005","The force, the value of which is 2,000 N, made the piston on the left-hand side travel a distance of 0.5 m. What is the distance travelled by the piston on the right-hand side?","0.2 m","0.125 m","0.5 m","0.25 m","0.2 m","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0006","Why is it important to be very careful when handling hydraulic fluids? Select the most complete answer.","Because hydraulic fluids are skin and eye irritants","Because hydraulic fluids are typically flammable","Because hydraulic fluids are highly volatile","Hydraulic fluid is always water-based glycol","Because hydraulic fluids are skin and eye irritants","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0007","Hydraulic fluids are considered to be incompressible at pressures up to _____.","276.7 bar","346 bar","267.7 bar","364 bar","276.7 bar","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0008","Which of the following statements is true?","Different types of hydraulic fluids must not be mixed","Mineral and synthetic hydraulic fluids can be mixed, but vegetable fluids must not be mixed with any other type of fluid","Different types of hydraulic fluids can be mixed freely","Vegetable and mineral hydraulic fluids can be mixed, but synthetic hydraulic fluids must not be mixed with any other type of fluid","Different types of hydraulic fluids must not be mixed","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0009","Which of the following statements is true?","The lower the pressure, the lower the boiling temperature of the water","The lower the pressure, the higher the boiling temperature of the water","The lower the pressure, the lower the temperature of the water","The lower the pressure, the higher the temperature of the water","The lower the pressure, the lower the boiling temperature of the water","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0010","What is true about SKYDROL?","No other answer is correct","SKYDROL Type 500A or B is green, whereas SKYDROL Type 700 is purple","SKYDROL is refined mineral-based oil","SKYDROL has a low boiling point","No other answer is correct","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0011","What is true about DTD 585?","DTD 585 is refined mineral-based oil","0.25 m","There is no accumulator fitted in the system","A spur gear pump provides a relatively large pressure","DTD 585 is refined mineral-based oil","Merged"
"Airframe – 021.03 (1)","021.03 (1) Q0012","A hydraulic system consists of two actuators and a pump. The required output force varies for both actuators. Which of the following statements is true?","The output force for individual actuators can be adjusted by varying the size of the actuator pistons","The output force for individual actuators can be adjusted by changing the pump output pressure","The output force for individual actuators can be adjusted by adjusting the type of hydraulic fluid supplying the actuator","The output force for individual actuators can be adjusted by adjusting the length of pipes connecting an actuator with the pump","The output force for individual actuators can be adjusted by varying the size of the actuator pistons","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0013","The pressure in low-pressure systems equals typically up to _____, and the pressure in-high pressure systems typically equals or is higher than _____.","2,000 psi; 3,000 psi","1,500 psi; 3,000 psi","1,500 psi; 2,000 psi","2,000 psi; 4,000 psi","2,000 psi; 3,000 psi","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0014","Why are modern aircraft typically fitted with high-pressure hydraulic systems?","Because high-pressure systems generate greater forces and weigh less than low-pressure systems","Because high-pressure systems are cheaper than low-pressure systems","Because leakages are less probable in high-pressure systems than in low-pressure systems","Because less durable materials can be used in high-pressure hydraulic systems than in low-pressure hydraulic systems","Because high-pressure systems generate greater forces and weigh less than low-pressure systems","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0015","What is true about the open-centre hydraulic systems? Select the most complete answer.","All answers are correct","Open-centre hydraulic systems are able to operate only one service at the same time","Open-centre hydraulic systems are pressurised only on specific demand","Open-centre hydraulic systems are commonly used in light aircraft","All answers are correct","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0016","What is true about the hydraulic system presented in the picture?","The hydraulic system presented in the picture is the closed system","The hydraulic system presented in the picture is the open-centre system","There is no accumulator fitted in the system","There is no pressure relief valve in the system","The hydraulic system presented in the picture is the closed system","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0017","Is it important to return the selector valves to neutral once the operation of the services is completed?","No, because the control system is designed to deal with the constant pressure increase","Yes, because when one valve is open, actuators associated with other valves cannot be operated","Yes, because otherwise, the pump is not lubricated","Yes, because otherwise, the system might become overloaded","No, because the control system is designed to deal with the constant pressure increase","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0018","What is a hydraulic lock?","The situation, when the hydraulic fluid is trapped on both sides of the actuators","The situation when hydraulic pipes are clogged","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","The situation, when the hydraulic fluid is trapped on both sides of the actuators","Merged"
"Airframe – 021.03 (1)","021.03 (1) Q0019","What is true about closed hydraulic systems?","The operating pressure is maintained in the part of a closed hydraulic system leading to the selector valves","Closed hydraulic systems are able to operate only one service at the same time","Closed hydraulic systems are commonly used in light aircraft","Hydraulic fluid is always water-based glycol","The operating pressure is maintained in the part of a closed hydraulic system leading to the selector valves","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0020","What is true regarding system actuation by hydraulic means?","No other answer is correct","Hydraulic systems do not weigh a lot when compared to systems actuated by other means","Hydraulic systems work with relatively low speed when compared to systems actuated by other means","Hydraulic systems do not take up a lot of space when compared to systems actuated by other means","No other answer is correct","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0021","In most aircraft with the hydraulic system fitted with more than one pump, the main pump is usually _____.","engine-driven","electric motor-driven","ATM-driven","PTU-driven","engine-driven","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0022","What is true about hand pumps fitted in hydraulic systems? Select the most complete answer.","All answers are correct","In larger aircraft hand pumps allow for operating cargo doors without power","A typical hand pump incorporates Non-Return Valves (NRV) and a relief valve","Hand pumps are usually double-acting pumps","All answers are correct","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0023","Which pump is presented in the picture?","Constant pressure pump","Hand pump","Constant delivery pump","Spur gear pump","Constant pressure pump","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0024","What is true about a spur gear pump?","A spur gear pump is a constant delivery pump","A spur gear pump provides a relatively large pressure","In a spur gear pump, both gears are driven by an external power source","The output of a spur gear pump does not depend on its revolutions per minute (rpm)","A spur gear pump is a constant delivery pump","Evionica"
"Airframe – 021.03 (1)","021.03 (1) Q0025","What is true regarding a constant pressure pump?","When there are no services that need to be operated, the swash plate is nearly vertical, and there is only a small flow through the pump","The angle of a swash plate is controlled by a dedicated electrical actuator","There is no direct metal to metal contact between a kidney plate and a cylinder block","A swash plate is one of the rotating parts of a constant pressure pump","When there are no services that need to be operated, the swash plate is nearly vertical, and there is only a small flow through the pump","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0001","Effective leakages prevention in one direction only is provided by _____.","‘U’ rings and ‘V’ rings","‘O’ rings and square section seals","‘U’ rings and ‘O’ rings","‘V’ rings and ‘O’ rings","‘U’ rings and ‘V’ rings","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0002","What is the aim of stiff backing rings?","To retain the shape of the ‘O’ ring and prevents it from being squeezed by the two moving surfaces","Felt, gauze, metal wire","with pipes being as short, wide and straight as it is practicable","An ACOV","To retain the shape of the ‘O’ ring and prevents it from being squeezed by the two moving surfaces","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0003","Why are the hydraulic systems fitted with reservoirs? Select the most complete answer.","All answers are correct","To store hydraulic fluid and supply the pumps","To allow for thermal expansion and contraction of the fluid","To accommodate fluid returning from actuators and prevent pump cavitation when pressurised","All answers are correct","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0004","In hydraulic systems, reservoirs are pressurised to _____.","prevent pump cavitation","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","prevent pump cavitation","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0005","In which component of a hydraulic system, the temperature of the hydraulic fluid is measured?","In the reservoir","At the actuators","In the filter","At the pumps","In the reservoir","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0006","Which element of a reservoir prevents the hydraulic fluid from sloshing and foaming during in-flight manoeuvres?","Baffles and fins","Filler cap","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Baffles and fins","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0007","The main pumps draw the fluid _____, whereas the backup pumps draw the fluid _____.","through a stack pipe; directly from the bottom of the reservoir","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","through a stack pipe; directly from the bottom of the reservoir","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0008","What are the names of filters fitted on both sides of the pump in the hydraulic system?","Suction filter and pressure filter","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","Suction filter and pressure filter","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0009","Which of the following elements might be fitted in filters used in hydraulic systems? Select the most complete answer.","All answers are correct","Micron / treated paper filter elements","Porous sintered metal filter elements","Magnetic filter elements to attract ferrous particles","All answers are correct","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0010","Which of the following sets consists of materials that need to be discarded when removed from the filter?","Paper, felt, gauze","Felt, gauze, metal wire","Paper, felt, metal wire","Paper, gauze, metal wire","Paper, felt, gauze","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0011","Which of the following statements is true?","No other answer is correct","To separate two parts of a spherical accumulator, a floating piston is used","To separate two parts of a cylindrical accumulator, a flexible diaphragm is used","There is no need to keep gas and liquid apart in a spherical accumulator","No other answer is correct","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0012","Which gases are used to pressurise the gas side of an accumulator?","Air or nitrogen","Nitrogen or hydrogen","Nitrogen or methane","Hydraulic fluid is always water-based glycol","Air or nitrogen","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0013","To prevent the hydraulic fluid from being discharged back through the pump to the reservoir, _____ is fitted _____ of an accumulator","a non-return valve; upstream","an ACOV; downstream","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","a non-return valve; upstream","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0014","Why should accumulators be fitted in hydraulic systems? Select the most complete answer.","To dampen pressure fluctuations","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","To dampen pressure fluctuations","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0015","The friction between the hydraulic fluid and the walls of the pipes can be reduced by designing a system _____.","with pipes being as short, wide and straight as it is practicable","with many bends and pipes of the rough inner surface","with narrow pipes of the rough inner surface","with pipes being as narrow and straight as it is practicable","with pipes being as short, wide and straight as it is practicable","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0016","Which of the following lists proper names of the actuators presented in the picture?","1 – single-acting actuator, 2 – double-acting unbalanced actuator, 3 – double-acting balanced actuator","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","1 – single-acting actuator, 2 – double-acting unbalanced actuator, 3 – double-acting balanced actuator","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0017","In which direction will the piston of the actuator presented in the picture move?","The piston will move to the right","The piston will move to the left","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","The piston will move to the right","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0018","What is true regarding a PTU? Select the most complete answer.","PTU transmits power from one hydraulic system to another","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","PTU transmits power from one hydraulic system to another","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0019","The ACOV presented in the picture is in its _____ position.","‘cut-out’","‘cut-in’","neutral","idle","‘cut-out’","Evionica"
"Airframe – 021.03 (2)","021.03 (2) Q0020","A hydraulic system with an ACOV needs _____ fitted _____ of it.","an accumulator; downstream","Hydraulic fluid is always water-based glycol","Reservoirs are never pressurised on transport aircraft","Accumulators store only electrical energy","an accumulator; downstream","Merged"
"Airframe – 021.03 (2)","021.03 (2) Q0021","What is the typical hydraulic system pressure value in large transport aircraft?","3,000 psi","4 psi","2 psi","5 psi","3,000 psi","Merged"
