"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0027","Who recommends modifications of Annexes to the Chicago Convention to the ICAO?","The Air Navigation Commission","The Technical Commission","The Air Navigation Commission","The Secretary","The Air Navigation Commission","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0028","What is true about the transport of ammunition of war above the territory of a state?","It is forbidden without the permission of that state","It is permitted without prior permission, provided the aircraft is civil","It is permitted if carried as cargo and declared on the manifest","It is permitted only over the high seas, regardless of State permission","It is forbidden without the permission of that state","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0029","What are non-scheduled flights?","Non-scheduled flights are flights that take place without a flight schedule i.e. one-off flights or charter flights that are not flown on a regular basis","Non-scheduled flights is regulated only by national authorities and does not appear in international civil aviation law","Non-scheduled flights refers to military aviation operations excluded from ICAO regulations","Non-scheduled flights only applies to private flights conducted outside controlled airspace","Non-scheduled flights are flights that take place without a flight schedule i.e. one-off flights or charter flights that are not flown on a regular basis","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0030","What is an international airport?","An international airport is an airport with border control facilities enabling passengers to travel between countries","An international airport is an airport with more than 100,000 passengers boarding each year","An international airport is a country's main airport","An international airport is an airport with more than 10,000 passengers boarding each year","An international airport is an airport with border control facilities enabling passengers to travel between countries","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0031","What documents must be carried onboard according to the Chicago Convention? Select the most complete answer.","All answers are correct","All answers are correct","Certificate of Registration","Journey Logbook","All answers are correct","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0032","What information is included in the aircraft registration certificate? Select the most complete answer.","All answers are correct","Only the first option is correct","None of the above","Only some of the options are correct","All answers are correct","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0033","Who issues a Certificate of Airworthiness?","The national aviation authority in the state of registration","NASA","ICAO","EASA","The national aviation authority in the state of registration","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0034","Who issues crew member licenses?","National aviation authorities in the contracting states","ICAO","National aviation authorities in the contracting states","EASA","National aviation authorities in the contracting states","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0035","What is included in the Journey Logbook? Select the most complete answer.","All answers are correct","All answers are correct","Important events in the operation of the aircraft","Important events in the management of the aircraft","All answers are correct","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0036","What should be included on the passenger list? Select the most complete answer.","All answers are correct","The name of every passenger","All answers are correct","The place of departure and arrival of each passenger","All answers are correct","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0037","What should be included on the cargo manifest? Select the most complete answer.","All answers are correct","Package numbers","Nature of goods","Points of landing","All answers are correct","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0038","What is another name for the Declaration of Cargo ?","The cargo manifest","The cargo manifold","The cargo list","The cargo reference","The cargo manifest","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0039","Where was the International Air Transport Association (IATA) set up?","At the Chicago Conference","At the Berlin Conference","At The Paris Convention","At the Stockholm Convention of Sea Law","At the Chicago Conference","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0040","What does IATA stand for?","International Air Transport Association","International Airworthiness Trust Association","International Air Traffic Association","International Air Transport Association","International Air Transport Association","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0041","What is the first freedom established by the International Air Services Transit Agreement?","The privilege to fly over a foreign participating country without landing","The privilege to carry passengers, mail and cargo between two foreign participating states via the carrier's home state","The privilege to carry passengers, mail and cargo between two foreign participating states on a route originating or terminating in the carrier's home state","The privilege to land in another participating state for technical stops without commercial purpose","The privilege to fly over a foreign participating country without landing","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0042","What is the second freedom established by the International Air Services Transit Agreement?","The privilege to land in another participating state for technical stops","The privilege to carry passengers, mail and cargo from another participating state back to the carrier's home state","The privilege (consecutive cabotage) to carry passengers, mail and cargo between two points within a foreign state on a route starting or ending in the carrier's home state","The privilege to fly over a foreign participating country without landing","The privilege to land in another participating state for technical stops","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0043","What is the third freedom established by the International Air Services Transit Agreement?","The right to carry passengers or cargo from the state of airline registration to another country","The privilege to land in another participating state for technical stops","The right to carry passengers or cargo from the state of airline registration to another country","The privilege to fly over a foreign participating country without landing","The right to carry passengers or cargo from the state of airline registration to another country","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0044","What is the fourth freedom established by the International Air Services Transit Agreement?","The right to carry passengers or cargo from another state to the state of airline registration","The right to carry passengers or cargo from another state to the state of airline registration","The privilege to land in another participating state for technical stops","The privilege to fly over a foreign participating country without landing","The right to carry passengers or cargo from another state to the state of airline registration","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0045","What is the fifth freedom established by the International Air Services Transit Agreement?","The privilege to carry traffic between two foreign countries on a flight that either originated in or is destined for the carrier’s home country","The privilege to land in another participating state for technical stops","The privilege to carry traffic between two foreign countries on a flight that either originated in or is destined for the carrier’s home country","The privilege to fly over a foreign participating country without landing","The privilege to carry traffic between two foreign countries on a flight that either originated in or is destined for the carrier’s home country","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0046","Which of the following is classed as Technical Freedom?","The first freedom","The first freedom","The fourth freedom","The fifth freedom","The first freedom","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0047","How many Technical Freedoms are there?","2","3","4","5","2","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0048","How many Commercial Freedoms are there?","3","4","2","5","3","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0049","How many Freedoms of Air are there?","9","9","5","7","9","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0050","How many Modern Freedoms are there?","4","5","4","9","4","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0051","What is the sixth freedom?","Privilege for an airline registered in one participating state to take on passengers, mail, and cargo in the second state, transport them via the state of registration and discharge them in a third participating state","Privilege for an airline registered in one participating state to take on passengers, mail, and cargo in the second state, transport them via the state of registration and discharge them in a third participating state","Unofficial privilege to carry passengers or cargo between two or more points in one foreign country, this type of operation is also known as cabotage","Privilege to perform scheduled flight being flown by an operator other than the operator to whom the schedule has been granted or with whom the schedule is shared","Privilege for an airline registered in one participating state to take on passengers, mail, and cargo in the second state, transport them via the state of registration and discharge them in a third participating state","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0052","What is the seventh freedom?","Privilege for an airline registered in one participating state to take on passengers, mail and cargo in the second participating state and put them down in any other participating state without the journey originating, stopping or terminating in the state of registration","The privilege to carry passengers, mail and cargo between two foreign participating states via the carrier's home state","The privilege (consecutive cabotage) to carry passengers, mail and cargo between two points within a foreign state on a route starting or ending in the carrier's home state","The privilege to carry passengers, mail and cargo between two foreign participating states on a route with no connection to the carrier's home state","Privilege for an airline in one participating state to take on passengers, mail, and cargo in the second participating state and put them down in any other participating state without journey originating, stopping or terminating in the state of registration","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0053","What is the eighth freedom?","Unofficial privilege to carry passengers or cargo between two or more points in one foreign country, this type of operation is also known as cabotage","Unofficial privilege to carry passengers or cargo between two or more points in one foreign country, this type of operation is also known as cabotage","Privilege for an airline registered in one participating state to take on passengers, mail and cargo in the second participating state and put them down in any other participating state without the journey originating, stopping or terminating in the state of registration","Privilege to perform scheduled flight being flown by an operator other than the operator to whom the schedule has been granted or with whom the schedule is shared","Unofficial privilege to carry passengers or cargo between two or more points in one foreign country, this type of operation is also known as cabotage","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0054","What is the ninth freedom?","Privilege to perform scheduled flight being flown by an operator other than the operator to whom the schedule has been granted or with whom the schedule is shared","The privilege to carry passengers, mail and cargo between two foreign participating states on a route originating or terminating in the carrier's home state","The privilege (stand-alone cabotage) to carry passengers, mail and cargo within a foreign state with no connection to the carrier's home state","The privilege to carry passengers, mail and cargo between two foreign participating states on a route with no connection to the carrier's home state","Privilege to perform schedule flight being flown by an operator other than the operator to whom the schedule has been granted or with whom the schedule is shared","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0055","How much time does a state have to inform ICAO if it does not comply with international standards?","The state must inform the ICAO immediately","3 months","1 year","None of the above","The state must inform the ICAO immediately","Merged"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0056","Who must be notified by a state if it does not comply with an international standard?","The ICAO Council","The ICAO Secretary","The head of NATO","The ICAO Council","The ICAO Council","PDF"
"International Agreements and Organisations – Part 1","010.01 Part 1 Q0057","What is Cabotage?","Cabotage is the transport of goods or passengers between two places in the same country by a vessel or aircraft registered in another country or state","Cabotage is the privilege for an airline to overfly foreign territory without commercial purpose","Cabotage is the right to perform a technical stop in another state","Cabotage is the privilege to carry passengers between two countries via the carrier's home state","Cabotage is the transport of goods or passengers between two places in the same country by a vessel or aircraft registered in another country or state","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0001","How many annexes are there to the Chicago Convention?","19","21","15","19","19","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0002","What is included in annex 1 to the Chicago Convention?","Annex 1 contains provisions on licensing of flight crews, air traffic controllers, and aircraft maintenance personnel","Annex 1 defines the obligations of states to make certain ICAO aeronautical chart types available","Annex 1 contains provisions on licensing of flight crews, air traffic controllers, and aircraft maintenance personnel","Annex 1 contains Rules of the Air which consist of general rules, VFR, and IFR","Annex 1 contains provisions on licensing of flight crews, air traffic controllers, and aircraft maintenance personnel","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0003","What is included in annex 2 to the Chicago Convention?","Annex 2 contains Rules of the Air which consist of general rules, VFR, and IFR","Annex 2 contains provisions on licensing of flight crews, air traffic controllers, and aircraft maintenance personnel","Annex 2 contains the SARPs and certain guidelines for the management of meteorological services to international air navigation","Annex 2 defines the obligations of states to make certain ICAO aeronautical chart types available","Annex 2 contains Rules of the Air which consist of general rules, VFR, and IFR","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0004","What is included in annex 3 to the Chicago Convention?","Annex 3 contains the SARPs and certain guidelines for the management of meteorological services to international air navigation","Annex 3 contains the SARPs and certain guidelines for the management of meteorological services to international air navigation","Annex 3 contains provisions on licensing of flight crews, air traffic controllers, and aircraft maintenance personnel","Annex 3 defines the obligations of states to make certain ICAO aeronautical chart types available","Annex 3 contains the SARPs and certain guidelines for the management of meteorological services to international air navigation","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0005","What is included in annex 4 to the Chicago Convention?","Annex 4 defines the obligations of states to make certain ICAO aeronautical chart types available","Annex 4 contains the international SARPs for Meteorological Service for International Air Navigation","Annex 4 contains the international SARPs for Units of Measurement to be Used in Air and Ground Operations","Annex 4 contains the international SARPs for Rules of the Air","Annex 4 defines the obligations of states to make certain ICAO aeronautical chart types available","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0006","What is included in annex 5 to the Chicago Convention?","Annex 5 comprises the SARPs for dimensional units to be used in air and ground operations—this document defines the extent of use of non-SI units and standard application of units of measurement and guidance on the application of the SI","Annex 5 contains the overarching provisions applicable to the Safety Management System (SMS) related to or directly supporting aircraft safety","Annex 5 contains the international SARPs for aircraft accident and incident investigation","Annex 5 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","Annex 5 comprises the SARPs for dimensional units to be used in air and ground operations—this document defines the extent of use of non-SI units and standard application of units of measurement and guidance on the application of the SI","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0007","What is included in annex 6 to the Chicago Convention?","Annex 6 defines international SARPs for aeroplanes used in international commercial air transport operation transferring cargo or passengers","Annex 6 contains the SARPs for the provision of the Aeronautical Information Service (AIS)","Annex 6 contains Rules of the Air which consist of general rules, VFR, and IFR","Annex 6 defines international SARPs for aeroplanes used in international commercial air transport operation transferring cargo or passengers","Annex 6 defines international SARPs for aeroplanes used in international commercial air transport operation transferring cargo or passengers","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0008","What is included in annex 7 to the Chicago Convention?","Annex 7 contain standards adopted by ICAO as the minimum standards for the display of nationality marks and registration marks—this document provides definitions, location, and size of registration marks and nationality symbols","Annex 7 contains provisions on licensing of flight crews, air traffic controllers and aircraft maintenance personnel","Annex 7 contain standards adopted by ICAO as the minimum standards for the display of nationality marks and registration marks—this document provides definitions, location, and size of registration marks and nationality symbols","Annex 7 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","Annex 7 contain standards adopted by ICAO as the minimum standards for the display of nationality marks and registration marks—this document provides definitions, location, and size of registration marks and nationality symbols","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0009","What is included in annex 8 to the Chicago Convention?","Annex 8 contains the SARPs for the airworthiness of aircraft","Annex 8 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","Annex 8 defines the obligations of states to make certain ICAO aeronautical chart types available","Annex 8 contains Rules of the Air which consist of general rules, VFR, and IFR","Annex 8 contains the SARPs for the airworthiness of aircraft","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0010","What is included in annex 9 to the Chicago Convention?","Annex 9 contains SARPs, definitions and supplements concerning the facilitation of international air transport","Annex 9 contains the international SARPs for Airworthiness of Aircraft","Annex 9 contains the international SARPs for Aeronautical Telecommunications","Annex 9 contains the international SARPs for Aircraft Nationality and Registration Marks","Annex 9 contains SARPs, definitions and supplements concerning the facilitation of international air transport","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0011","What is included in annex 11 to the Chicago Convention?","Annex 11 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","Annex 11 contains the international SARPs for aircraft accident and incident investigation","Annex 11 contains the SARPs for the airworthiness of aircraft","Annex 11 defines international SARPs for aeroplanes used in international commercial air transport operation transferring cargo or passengers","Annex 11 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0012","What is included in annex 12 to the Chicago Convention?","Annex 12 sets forth the provisions applicable to the establishment, maintenance and operation of Search And Rescue (SAR)","Annex 12 contains provisions on licensing of flight crews, air traffic controllers and aircraft maintenance personnel","Annex 12 defines international SARPs for aeroplanes used in international commercial air transport operation transferring cargo or passengers","Annex 12 contains the overarching provisions applicable to the Safety Management System (SMS) related to or directly supporting aircraft safety","Annex 12 sets forth the provisions applicable to the establishment, maintenance and operation of Search And Rescue (SAR)","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0013","What is included in annex 13 to the Chicago Convention?","Annex 13 contains the international SARPs for aircraft accident and incident investigation","Annex 13 contain standards adopted by ICAO as the minimum standards for the display of nationality marks and registration marks—this document provides definitions, location, and size of registration marks and nationality symbols","Annex 13 contains SARPs, definitions and supplements concerning the facilitation of international air transport","Annex 13 contains the international SARPs for aircraft accident and incident investigation","Annex 13 contains the international SARPs for aircraft accident and incident investigation","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0014","What is included in annex 14 to the Chicago Convention?","Annex 14 contains SARPs for public aerodromes","Annex 14 defines the role of Air Traffic Services (ATS) and specifies the worldwide SARPs applicable to the provision of ATS","Annex 14 contains SARPs for public aerodromes","Annex 14 contains the SARPs for the airworthiness of aircraft","Annex 14 contains SARPs for public aerodromes","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0015","What is included in annex 10 to the Chicago Convention?","Annex 10 contains SARPs, PANS, and guidance material on aeronautical communication, navigation, and surveillance systems","Annex 11 defines the role of Air Traffic Services (ATS) and related SARPs","Annex 14 contains SARPs for aerodromes (design and operations)","Annex 15 contains SARPs for aeronautical information services (AIS/AIM)","Annex 10 contains SARPs, PANS, and guidance material on aeronautical communication, navigation, and surveillance systems","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0016","What is included in annex 15 to the Chicago Convention?","Annex 15 contains the SARPs for the provision of the Aeronautical Information Service (AIS)","Annex 4 contains SARPs for aeronautical charts","Annex 11 defines the role of Air Traffic Services (ATS) and related SARPs","Annex 16 contains SARPs for environmental protection (noise/emissions)","Annex 15 contains the SARPs for the provision of the Aeronautical Information Service (AIS)","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0017","What is included in annex 16 to the Chicago Convention?","Annex 16 contains the SARPs for aircraft noise certification","Annex 6 contains SARPs for operation of aircraft","Annex 14 contains SARPs for aerodromes (design and operations)","Annex 18 contains broad principles for safe transport of dangerous goods by air","Annex 16 contains the SARPs for aircraft noise certification","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0018","What is included in annex 17 to the Chicago Convention?","Annex 17 includes SARPs concerned with the security of international air transport","Annex 2 contains the Rules of the Air (VFR/IFR general rules)","Annex 14 contains SARPs for aerodromes (design and operations)","Annex 18 contains broad principles for safe transport of dangerous goods by air","Annex 17 includes SARPs concerned with the security of international air transport","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0019","What is included in annex 18 to the Chicago Convention?","Annex 18 concerns general principles determining acceptance of items for air transport carriage","Annex 9 contains SARPs for facilitation of international air transport","Annex 11 defines the role of Air Traffic Services (ATS) and related SARPs","Annex 19 contains SARPs related to safety management (SMS framework)","Annex 18 concerns general principles determining acceptance of items for air transport carriage","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0020","What is included in annex 19 to the Chicago Convention?","Annex 19 contains the overarching provisions applicable to the Safety Management System (SMS) related to or directly supporting aircraft safety","Annex 19 contains the overarching provisions applicable to the Safety Management System (SMS) related to or directly supporting aircraft safety","Annex 19 contains the international SARPs for aircraft accident and incident investigation","Annex 19 concerns general principles determining acceptance of items for air transport carriage","Annex 19 contains the overarching provisions applicable to the Safety Management System (SMS) related to or directly supporting aircraft safety","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0021","Where was the Warsaw Convention of 1929 held?","In Warsaw","In Chicago","In Warsaw","In London","In Warsaw","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0022","What flights does the Warsaw Convention of 1929 apply to?","International flights","Domestic flights","Flights within the European Union","Flights within Australia","International flights","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0023","What did the Warsaw Convention of 1929 focus on?","The Warsaw Convention of 1929 focused on the responsibilities and liabilities of the carrier and the agents","The Warsaw Convention focused on uniform standards of safety and environmental protection in civil aviation in the European Union","The Warsaw Convention of 1963 focused on specific rights/obligations of the Pilot in Command (PIC) in case of suppressing unlawful acts","The Warsaw Convention of 1929 focused on the responsibilities and liabilities of the carrier and the agents","The Warsaw Convention of 1929 focused on the responsibilities and liabilities of the carrier and the agents","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0024","What did the Rome Convention of 1952 focus on?","The Rome Convention of 1952 focused on damage caused by foreign aircraft to third parties on the ground","The Rome Convention of 1952 focused on uniform standards of safety and environmental protection in civil aviation in the European Union","The Rome Convention of 1952 focused on damage caused by foreign aircraft to third parties on the ground","The Rome Convention of 1952 focused on specific rights/obligations of the Pilot in Command (PIC) in case of suppressing unlawful acts","The Rome Convention of 1952 focused on damage caused by foreign aircraft to third parties on the ground","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0025","What did the Tokyo Convention of 1963 establish?","The Tokyo Convention of 1963 established specific rights/obligations of the Pilot in Command (PIC) in case of suppressing unlawful acts","The Tokyo Convention of 1963 established specific rights/obligations of the Pilot in Command (PIC) in case of suppressing unlawful acts","The Rome Convention of 1952 focused on damage caused by foreign aircraft to third parties on the ground","The Rome Convention of 1952 focused on uniform standards of safety and environmental protection in civil aviation in Japan","The Tokyo Convention of 1963 established specific rights/obligations of the Pilot in Command (PIC) in case of suppressing unlawful acts","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0026","What is another name for the Hague Convention of 1970?","The Convention for the Suppression of Unlawful Seizure of Aircraft","The Orange Convention","The Convention for the Suppression of Unlawful Seizure of Aircraft","At the Geneva Convention on the High Seas","The Convention for the Suppression of Unlawful Seizure of Aircraft","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0027","After what period of time following denunciation of the Montreal Convention of 1971 by a contracting state will the denounciation come into effect?","6 months","7 months","5 months","8 months","6 months","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0028","Which of the following did the Montreal Convention of 1971 concern? Select the most complete answer.","All answers are correct","Only the first option is correct","None of the above","Only some of the options are correct","All answers are correct","Merged"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0029","What did the Montreal Convention of 1999 focus on?","On improving the provisions of the Rome Convention","On improving the provisions of the Hague Convention","On improving the provisions of the Warsaw Convention","On improving the provisions of the Tokyo Convention","On improving the provisions of the Warsaw Convention","PDF"
"International Agreements and Organisations – Part 2","010.01 Part 2 Q0030","What compensation must airlines pay out in the event of denied boarding, flight cancellations, or delays of at least 2 hours according to the flight compensation regulation in force in the European Union?","€250 to €600, depending on the flight distance","€100 to €400, depending on the flight distance","€500 to €1,000, depending on the flight distance","€50 to €250, depending on the flight distance","€250 tp €600, depending on the flight distance","Merged"
