"Section","QuestionID","Question","ChoiceA","ChoiceB","ChoiceC","ChoiceD","CorrectAnswer","Source"
"Human Factors – 040.02(1)","040.02(1) Q0037","What is aorta?","The biggest arteriy of a body, connected to the heart","Option 2","Option 3","Option 4","The biggest arteriy of a body, connected to the heart","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0038","What is a normal heart rate at rest?","60 - 100 bpm","Option 2","Option 3","Option 4","60 - 100 bpm","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0039","How does the heart rate change under stress?","It goes up","Option 2","Option 3","Option 4","It goes up","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0040","What is the cardiac output of an average adult?","5 l/min","Option 2","Option 3","Option 4","5 l/min","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0041","What is systolic pressure?","It is the blood pressure during heart contraction","Option 2","Option 3","Option 4","It is the blood pressure during heart contraction","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0042","What is diastolic pressure?","It is the blood pressure between heart contractions","Option 2","Option 3","Option 4","It is the blood pressure between heart contractions","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0043","In what unit is blood pressure usually given?","mmHg","Option 2","Option 3","Option 4","mmHg","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0044","What is the normal blood pressure of a healthy adult?","120/80","Option 2","Option 3","Option 4","120/80","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0045","What is the leading factor increasing the risk of coronary heart disease?","Obesity","Option 2","Option 3","Option 4","Obesity","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0046","How does smoking affect hypoxia?","Smokers experience hypoxia symptoms sooner than nosmokers","Option 2","Option 3","Option 4","Smokers experience hypoxia symptoms sooner than nosmokers","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0047","How does donating blood affect one's ability to fly?","Pilots should not fly for 24 hours after donating blood","Option 2","Option 3","Option 4","Pilots should not fly for 24 hours after donating blood","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0048","040.02 Part 1 Q0048 : What does Henry's Law state?","The amount of gas dissolved in a liquid is proportional to the partial pressure of that gas.","Option 2","Option 3","Option 4","The amount of gas dissolved in a liquid is proportional to the partial pressure of that gas.","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0049","What is decompression sickness caused by?","Nitrogen forming bubbles in the blood","Option 2","Option 3","Option 4","Nitrogen forming bubbles in the blood","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0050","How does diving affect decompression sickness?","It makes people more susceptible","Option 2","Option 3","Option 4","It makes people more susceptible","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0051","Humans are most resistant to acceleration in what direction?","Positive X","Option 2","Option 3","Option 4","Positive X","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0052","What is the most common direction of acceleration experienced in flight?","Positive Z","Option 2","Option 3","Option 4","Positive Z","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0053","What is black-out caused by?","Positive Z acceleration and blood deprivation of the eyes and brain","Option 2","Option 3","Option 4","Positive Z acceleration and blood deprivation of the eyes and brain","Synthesized"
"Human Factors – 040.02(1)","040.02(1) Q0054","What is red-out caused by?","Negative Z acceleration and blood pooling of the eyes and head","Option 2","Option 3","Option 4","Negative Z acceleration and blood pooling of the eyes and head","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0001","What are the parts of a synapse?","Axon and dendrite","Option 2","Option 3","Option 4","Axon and dendrite","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0002","What is adaptation?","It is a change in sensitivity to a particular stimulus","Option 2","Option 3","Option 4","It is a change in sensitivity to a particular stimulus","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0003","What does Central Nervous System consist of?","Brain and spinal cord","Option 2","Option 3","Option 4","Brain and spinal cord","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0004","Which answer only lists parts of the middle ear?","Maleus, incus, stapes","Option 2","Option 3","Option 4","Maleus, incus, stapes","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0005","What is the function of the eardrum?","It transforms soundwaves into mechanical vibration of ossicles","Option 2","Option 3","Option 4","It transforms soundwaves into mechanical vibration of ossicles","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0006","How many ear bones are there and what are they called?","3 - maleus, incus, stapes","Option 2","Option 3","Option 4","3 - maleus, incus, stapes","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0007","What is the function of the Eustachian tube?","To equlise the pressure on both sides of the ear drum","Option 2","Option 3","Option 4","To equlise the pressure on both sides of the ear drum","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0008","What causes Noise-Induced Hearing Loss?","Damage to the stereocilia","Option 2","Option 3","Option 4","Damage to the stereocilia","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0009","What is the difference between 20 dB loud sound and 30 dB loud sound?","30 dB is 10 times louder than 20 dB","Option 2","Option 3","Option 4","30 dB is 10 times louder than 20 dB","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0010","What noise level is the threshold of Noise-Induced Hearing Loss?","90 dB","Option 2","Option 3","Option 4","90 dB","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0011","What frequency range can a young healthy human hear?","20 Hz - 20 kHz","Option 2","Option 3","Option 4","20 Hz - 20 kHz","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0012","Which tones are affected by old age hearing loss first?","High tones first","Option 2","Option 3","Option 4","High tones first","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0013","What does the vestibular system consist of?","3 semicircular canals and 2 otolith organs","Option 2","Option 3","Option 4","3 semicircular canals and 2 otolith organs","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0014","What is the function of otolith organs?","They detect linear acceleration","Option 2","Option 3","Option 4","They detect linear acceleration","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0015","What is the function of semicircular canals?","They detect angular acceleration","Option 2","Option 3","Option 4","They detect angular acceleration","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0016","What are the semicircular canals filled with?","Endolymph","Option 2","Option 3","Option 4","Endolymph","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0017","What are the limitations of semicircular canals? Select the most complete answer.","They cannot detect rotation slower than 0.5 deg / s^2 and longer than 10 seconds","Option 2","Option 3","Option 4","They cannot detect rotation slower than 0.5 deg / s^2 and longer than 10 seconds","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0018","What is proprioception?","It is the sense of own body position","Option 2","Option 3","Option 4","It is the sense of own body position","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0019","What is motion sickness caused by?","Mismatch between visual and vestibular sensations","Option 2","Option 3","Option 4","Mismatch between visual and vestibular sensations","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0020","What should you do to cope with the motion sickness?","Look at the horizon as it provides a steady reference point","Option 2","Option 3","Option 4","Look at the horizon as it provides a steady reference point","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0021","Which part of the eye functions similarly to the aperture of the camera?","Pupil","Option 2","Option 3","Option 4","Pupil","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0022","Which part of the eye gives the outer part of the eye its white color?","Sclera","Option 2","Option 3","Option 4","Sclera","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0023","Where is the blindspot located?","On the retina, in the place where optic nerve enters the eye","Option 2","Option 3","Option 4","On the retina, in the place where optic nerve enters the eye","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0024","How is accommodation achieved?","Changing the shape of the lens","Option 2","Option 3","Option 4","Changing the shape of the lens","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0025","What are the primary colours detected by cones in the human eye? Select the most complete answer.","Red, green and blue","Option 2","Option 3","Option 4","Red, green and blue","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0026","What are rods in the eye?","Light sensitive cells that cannot distinguish colours","Option 2","Option 3","Option 4","Light sensitive cells that cannot distinguish colours","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0027","What does visual acuity of 6/12 mean?","A person sees worse than average","Option 2","Option 3","Option 4","A person sees worse than average","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0028","What is fovea?","Place in the eye that image is focused on and in contains most cones in the whole eye","Option 2","Option 3","Option 4","Place in the eye that image is focused on and in contains most cones in the whole eye","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0029","How is night vision achieved?","Night vision is achieved using rods and has the highest acuity 1020 degrees from the centre of field of vision","Option 2","Option 3","Option 4","Night vision is achieved using rods and has the highest acuity 1020 degrees from the centre of field of vision","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0030","Which statement describes eye adaptation?","It takes about 30 minutes when going from bright to dark conditions and 10 seconds when going from dark to bright conditions","Option 2","Option 3","Option 4","It takes about 30 minutes when going from bright to dark conditions and 10 seconds when going from dark to bright conditions","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0031","Which of the following negatively affects night vision?","Hypoxia","Option 2","Option 3","Option 4","Hypoxia","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0032","What do human use to perceive depth?","Monocular cues for far objects and binocular cues for close objects","Option 2","Option 3","Option 4","Monocular cues for far objects and binocular cues for close objects","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0033","How does colour blindness affect both sexes?","It affects men more frequently than women","Option 2","Option 3","Option 4","It affects men more frequently than women","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0034","How is myopia corrected?","Concave lenses","Option 2","Option 3","Option 4","Concave lenses","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0035","How is hypermetropia corrected?","Convex lenses","Option 2","Option 3","Option 4","Convex lenses","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0036","How is astigmatism corrected?","Cylindrical lenses","Option 2","Option 3","Option 4","Cylindrical lenses","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0037","When does a pilot need to have a second pair of corrective glasses? Select the most complete answer.","When flying in corrective glasses or corrective contact lenses","Option 2","Option 3","Option 4","When flying in corrective glasses or corrective contact lenses","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0038","What colours and types of light cause damage to the retina?","Blue, violet and ultraviolet","Option 2","Option 3","Option 4","Blue, violet and ultraviolet","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0039","What are the symptoms of hypoxia?","Euphoria, loss of sensation in fingertips, cyanosis, impaired judgement","Option 2","Option 3","Option 4","Euphoria, loss of sensation in fingertips, cyanosis, impaired judgement","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0040","How does hyperventilation affect blood acidity?","Hyperventillation removes too much CO2 from the blood and lowers the blood acidity","Option 2","Option 3","Option 4","Hyperventillation removes too much CO2 from the blood and lowers the blood acidity","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0041","040.02 Part 2 Q0041 : What vessels supply the heart with blood?","Coronary arteries","Option 2","Option 3","Option 4","Coronary arteries","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0042","What illusion can a pilot suffer from when approaching a runway that is wider than the pilot is used to?","The aircraft is closer to runway that it is in reality","Option 2","Option 3","Option 4","The aircraft is closer to runway that it is in reality","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0043","What illusion can a pilot suffer from when approaching a downsloping runway?","The aircraft is lower than in reality","Option 2","Option 3","Option 4","The aircraft is lower than in reality","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0044","What does """"Black-hole"""" approach refer to?","Approach at night when no horizon or lights in fornt of the runway are visible","Option 2","Option 3","Option 4","Approach at night when no horizon or lights in fornt of the runway are visible","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0045","What causes the autokinesis illusion?","Involuntary eye movement","Option 2","Option 3","Option 4","Involuntary eye movement","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0046","You are sitting in a car, waiting for a green light. Suddenly you see another car roll slowly forwards in the next lane and feel a strong sensation of backwards movement of your own car. What is this an example of?","Vection illusion","Option 2","Option 3","Option 4","Vection illusion","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0047","Which of the following describe """"the leans""""?","Set in after 30 seconds of continuous rotation","Option 2","Option 3","Option 4","Set in after 30 seconds of continuous rotation","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0048","Which of the following describes a graveyard spiral?","Can result in CFIT","Option 2","Option 3","Option 4","Can result in CFIT","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0049","What causes the opposite turn illusion?","Endolymph continuing to move after head movement has stopped","Option 2","Option 3","Option 4","Endolymph continuing to move after head movement has stopped","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0050","What does a pilot suffering from somatogravic illusion in an accelerating aeroplane feel?","The aeroplane is pitching up","Option 2","Option 3","Option 4","The aeroplane is pitching up","Synthesized"
"Human Factors – 040.02(2)","040.02(2) Q0051","What does a pilot suffering from somatogravic illusion in a decelerating aeroplane feel?","The aeroplane is pitching down","Option 2","Option 3","Option 4","The aeroplane is pitching down","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0001","How long does a circadian rhythm without outside stimuli take?","25 hours","Option 2","Option 3","Option 4","25 hours","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0002","In what phase of sleep do dreams appear?","REM phase","Option 2","Option 3","Option 4","REM phase","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0003","When is the body temperature the lowest?","At 5 AM","Option 2","Option 3","Option 4","At 5 AM","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0004","What is the average length of a sleep cycle?","90 minutes","Option 2","Option 3","Option 4","90 minutes","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0005","What is the BMI of a person that weighs 100 kg and is 2 m tall?","25","Option 2","Option 3","Option 4","25","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0006","Over what BMI value is a person considered obese?","30","Option 2","Option 3","Option 4","30","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0007","Over what BMI value is a person considered overweight?","25","Option 2","Option 3","Option 4","25","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0008","What is barotrauma caused by?","By the gas inside a body expanding when the pressure decreases","Option 2","Option 3","Option 4","By the gas inside a body expanding when the pressure decreases","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0009","How can you avoid otic barotrauma? Select the most complete answer.","Swallowing during climb and descent and yawning","Option 2","Option 3","Option 4","Swallowing during climb and descent and yawning","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0010","Which diseases are carried by mosquitoes?","Malaria and yellow fever","Option 2","Option 3","Option 4","Malaria and yellow fever","Synthesized"
"Human Factors – 040.02(3)","040.02(3) Q0011","How can you protect yourself from malaria? Select the most complete answer.","Use insect repellents and sleep under a mosquito net","Option 2","Option 3","Option 4","Use insect repellents and sleep under a mosquito net","Synthesized"
